SP,RP,SRP,LRP,FHP,BHP,RANK,RANKDIFF,SA,SRA,FHA,BALANCE,Player ID
0.5646666666666667,0.43533333333333335,0.2843333333333333,0.7156666666666668,0.4816666666666667,0.5183333333333333,1.0,-0.03574201204586377,0.1293333333333333,-0.43133333333333335,-0.03666666666666667,0.3228155339805826,1.0
0.5908,0.40919999999999995,0.267,0.733,0.3828,0.6172,12.0,-0.024831292579231664,0.18159999999999993,-0.466,-0.2344,0.44296116504854377,2.0
0.559,0.441,0.23266666666666666,0.7673333333333333,0.6789999999999999,0.321,3.0,-0.026336219402215404,0.11799999999999995,-0.5346666666666666,0.35799999999999993,0.5210355987055016,3.0
0.526125,0.473875,0.297,0.703,0.6996249999999999,0.30037500000000006,10.0,-0.6299529623083489,0.05224999999999999,-0.4059999999999999,0.39924999999999994,0.42809466019417475,4.0
0.5329999999999999,0.46699999999999997,0.29400000000000004,0.706,0.5365,0.4635,7.0,0.0028217377930945062,0.06599999999999995,-0.4119999999999999,0.07299999999999995,0.2506067961165049,5.0
0.5085,0.4915,0.2645,0.7355,0.493,0.507,1.0,-0.02539564013785057,0.017,-0.4710000000000001,-0.013999999999999999,0.2536407766990292,6.0
0.5165,0.4835,0.394,0.606,0.535,0.465,2.0,0.0,0.033,-0.21199999999999994,0.06999999999999995,0.14016990291262144,7.0
0.565,0.435,0.40149999999999997,0.5985,0.5145,0.4855,3.0,-0.014108688965472536,0.13,-0.197,0.028999999999999998,0.2342233009708739,8.0
0.5095000000000001,0.49050000000000005,0.44699999999999995,0.5529999999999999,0.508,0.492,9.0,0.039504329103323105,0.019,-0.106,0.016,0.06371359223300979,9.0
0.5332999999999999,0.46670000000000006,0.38470000000000004,0.6153,0.402,0.5980000000000001,26.0,-0.47461629679849615,0.06659999999999998,-0.23059999999999997,-0.19599999999999998,0.26893203883495154,10.0
0.524,0.476,0.36,0.64,0.483,0.517,5.0,-0.1467303652409144,0.048,-0.28,-0.034,0.12742718446601958,11.0
0.548,0.452,0.387,0.613,0.7,0.3,17.0,0.028217377930945076,0.096,-0.2259999999999999,0.3999999999999999,0.345873786407767,12.0
0.5646666666666667,0.43533333333333335,0.319,0.681,0.5916666666666667,0.40833333333333327,54.0,-0.7073156068023566,0.12933333333333327,-0.36200000000000004,0.18333333333333335,0.3171521035598706,13.0
0.5341538461538462,0.46584615384615385,0.33484615384615374,0.6651538461538462,0.6023846153846153,0.39761538461538465,29.846153846153847,-0.49271883002496397,0.06830769230769228,-0.3303076923076923,0.20476923076923076,0.32449589245705757,14.0
0.541,0.459,0.416,0.584,0.702,0.298,498.0,2.505703160267923,0.082,-0.1679999999999999,0.4039999999999999,0.304611650485437,15.0
0.524,0.47600000000000003,0.28933333333333333,0.7106666666666667,0.6702666666666668,0.3297333333333333,41.8,-0.9620244715923539,0.04799999999999997,-0.4213333333333332,0.34053333333333324,0.4393203883495147,16.0
0.7,0.3,0.3,0.7,1.0,0.0,740.0,3.9391459591599327,0.3999999999999999,-0.3999999999999999,1.0,1.0,17.0
0.5484,0.4516,0.5182,0.48179999999999995,0.539,0.461,204.0,0.37021199845399944,0.09679999999999997,0.03640000000000004,0.07799999999999999,0.24854368932038837,18.0
0.5898000000000001,0.4102,0.4085,0.5915,0.7109,0.2891,288.0,0.7031770580391512,0.17959999999999998,-0.18299999999999997,0.4218,0.42694174757281556,19.0
0.5583636363636364,0.44163636363636366,0.37000000000000005,0.6299999999999999,0.5815454545454546,0.4184545454545454,62.0,-0.3878606857417177,0.11672727272727271,-0.2599999999999999,0.1630909090909091,0.2543027360988526,20.0
0.515,0.485,0.3862727272727273,0.6137272727272727,0.6851818181818182,0.3148181818181819,88.0,-0.21034772639431784,0.029999999999999992,-0.22745454545454546,0.37036363636363634,0.3430052956751986,21.0
0.5313333333333333,0.4686666666666666,0.3525,0.6475000000000001,0.6533333333333334,0.3466666666666667,43.333333333333336,-0.5107345405501058,0.06266666666666663,-0.29499999999999993,0.3066666666666666,0.3462783171521036,22.0
0.49675,0.50325,0.42200000000000004,0.5780000000000001,0.59825,0.40175,490.0,2.5452074893712457,-0.006499999999999968,-0.15599999999999992,0.19649999999999995,0.23968446601941748,23.0
0.5233333333333333,0.4766666666666666,0.363,0.637,0.6739999999999999,0.326,368.0,1.329979079811878,0.046666666666666634,-0.27399999999999997,0.34799999999999986,0.35396440129449847,24.0
0.5384,0.46160000000000007,0.3233,0.6767,0.5623,0.4377,18.9,-0.8064526612664104,0.07679999999999995,-0.35339999999999994,0.1246,0.3007281553398059,25.0
0.5499000000000002,0.45009999999999994,0.33039999999999997,0.6696,0.6784,0.3216,55.0,-0.5795849427016118,0.09980000000000001,-0.33919999999999995,0.35679999999999995,0.42123786407767005,26.0
0.5231111111111111,0.476888888888889,0.31600000000000006,0.684,0.5660000000000001,0.43399999999999994,360.1111111111111,0.9763212764106997,0.04622222222222222,-0.368,0.13199999999999998,0.3241639697950378,27.0
0.5181333333333333,0.48186666666666667,0.3540666666666667,0.6459333333333334,0.752,0.24800000000000003,21.0,-0.7667602163102141,0.03626666666666663,-0.29186666666666666,0.5039999999999999,0.47661812297734635,28.0
0.528,0.47200000000000003,0.3612307692307692,0.6387692307692308,0.6945384615384615,0.30546153846153845,50.0,-0.21271561824866286,0.05599999999999998,-0.27753846153846146,0.389076923076923,0.36081030619865573,29.0
0.5356666666666666,0.4643333333333333,0.23066666666666666,0.7693333333333333,0.329,0.6709999999999999,35.0,-0.039504329103323105,0.0713333333333333,-0.5386666666666667,-0.3419999999999999,0.5032362459546927,30.0
